
Host: cmpsrv001.ph.qmul.ac.uk

Timers On : Sun Feb 25 19:01:20 2024
Timers Off: Thu Mar  7 18:20:00 2024

Wall Time:   947919.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAPT: Dimer SCF                     : 709601.017u  64697.050s  22446.008w     64 calls
Libint2ERI::Libint2ERI              :   4348.217u     72.150s   2385.211w   5888 calls
JK: (A|mn)                          :  14599.900u  17487.567s    688.788w     64 calls
JK: (A|Q)^-1/2                      :   6986.717u    201.850s    177.532w     64 calls
JK: (Q|mn)                          :  74555.467u  10338.683s   2244.554w     64 calls
HF: Form core H                     :   4026.350u    105.133s    386.450w    192 calls
HF: Form S/X                        :   4711.267u    175.183s    113.536w    192 calls
HF: Guess                           :   3591.383u    220.517s     96.806w    192 calls
SAD Guess                           :   3362.483u    206.967s     91.377w    192 calls
HF: Form G                          : 1815250.983u  96522.467s  51470.043w   2700 calls
JK: D                               :    591.717u     28.000s     13.293w   2700 calls
JK: USO2AO                          :     38.167u      1.950s      0.867w   2700 calls
JK: JK                              : 1813793.867u  96378.333s  51432.805w   2700 calls
JK: J                               :  25268.883u   6479.467s  10352.806w   2700 calls
JK: J1                              :  19969.517u   5596.700s   6870.255w   2700 calls
JK: J2                              :   4909.500u    860.967s   3463.324w   2700 calls
JK: K                               : 1773598.517u  88227.233s  40609.726w   2700 calls
JK: K1                              : 1624768.000u  85781.350s  36729.871w   2700 calls
JK: K2                              : 148820.250u   2442.067s   3875.596w   2700 calls
JK: AO2USO                          :      0.350u      0.033s      0.020w   2700 calls
HF: Form F                          :    676.783u     43.200s     15.590w   2700 calls
HF: Form D                          :    484.700u     22.500s     12.715w   2700 calls
HF: DIIS                            :  36518.267u   2115.867s    837.331w   2508 calls
HF: Form C                          :  53761.550u   1932.117s   1375.521w   2508 calls
SAPT: Monomer A SCF                 : 660315.533u  33737.767s  18970.653w     64 calls
SAPT: Monomer B SCF                 : 659037.950u  33927.317s  18891.447w     64 calls
DF Integrals                        : 2139639.317u  99977.233s 118194.008w     64 calls
Omega Integrals                     :   1229.800u   7407.367s  13162.398w     64 calls
Amplitudes                          : 11157052.333u 374724.117s 362147.720w     64 calls
Elst10                              :      0.017u      0.017s      0.518w     64 calls
Exch10 S^2                          :    100.683u      7.383s     11.207w     64 calls
Exch10                              :    421.767u     18.367s     11.067w     64 calls
Ind20,r                             : 1602339.967u 169327.783s  45579.704w     64 calls
Exch-Ind20,r                        :   9780.167u   1001.583s    597.239w     64 calls
Disp20                              :  40332.200u   2624.967s   2560.026w     64 calls
